cust_code,customer_name,item_code,item_description,invoice_date,invoice_no,quantity,price,amount,cost,profit,margin,source_file
SUNCHI,Sunny's Kensington Inc.,10417,Cod-Black Farmed 4/6 (Whole),2026-03-13,0996752,8.4,18.95,159.18,96.59,62.59,39.32,DSCI.txt
SUNCHI,Sunny's Kensington Inc.,10417,Cod-Black Farmed 4/6 (Whole),2026-03-14,0996911,12.8,18.95,242.56,147.19,95.37,39.32,DSCI.txt
SUSUDO,Sushi Umi - Downtown,10417,Cod-Black Farmed 4/6 (Whole),2026-03-12,0996547,4.7,18.95,89.07,54.05,35.02,39.32,DSCI.txt
SUSUMI,Sushi Umi - Markham,10417,Cod-Black Farmed 4/6 (Whole),2026-03-10,0996246,4.5,18.95,85.28,51.75,33.53,39.32,DSCI.txt
SUSUMI,Sushi Umi - Markham,10417,Cod-Black Farmed 4/6 (Whole),2026-03-16,0996978,4.6,18.95,87.17,52.90,34.27,39.32,DSCI.txt
VICTOR,Victor Restaurant,10417,Cod-Black Farmed 4/6 (Whole),2026-03-09,0996080,15.5,18.95,293.73,178.23,115.50,39.32,DSCI.txt
VICTOR,Victor Restaurant,10417,Cod-Black Farmed 4/6 (Whole),2026-03-14,0996908,17.5,18.95,331.63,201.23,130.40,39.32,DSCI.txt
ALORES,Alo Restaurant - Spadina,10500,Crab-Dungeness (1claw),2026-03-09,0996134,10,18.95,189.50,133.20,56.30,29.71,DSCI.txt
ALORES,Alo Restaurant - Spadina,10500,Crab-Dungeness (1claw),2026-03-13,0996786,7.7,18.95,145.92,102.67,43.25,29.64,DSCI.txt
ALORES,Alo Restaurant - Spadina,10500,Crab-Dungeness (1claw),2026-03-14,0996923,4.75,18.95,90.01,63.33,26.68,29.64,DSCI.txt
LABANA,2817343 Ontario Inc. / La Banane,10500,Crab-Dungeness (1claw),2026-03-11,0996436,5.6,25.95,145.32,74.59,70.73,48.67,DSCI.txt
LABANA,2817343 Ontario Inc. / La Banane,10500,Crab-Dungeness (1claw),2026-03-13,0996759,8.05,18.95,152.55,107.22,45.33,29.71,DSCI.txt
LABANA,2817343 Ontario Inc. / La Banane,10500,Crab-Dungeness (1claw),2026-03-14,0996900,4.35,25.95,112.88,58.00,54.88,48.62,DSCI.txt
ONE-AZ,One Time Customer AZ,10500,Crab-Dungeness (1claw),2026-03-09,0996172,18.3,23.95,438.29,243.75,194.54,44.39,DSCI.txt
OSTGIU,Osteria Giulia,10500,Crab-Dungeness (1claw),2026-03-11,0996445,9.4,25.95,243.93,125.20,118.73,48.67,DSCI.txt
OSTGIU,Osteria Giulia,10500,Crab-Dungeness (1claw),2026-03-13,0996762,7.25,25.95,188.14,96.57,91.57,48.67,DSCI.txt
SAMRES,Sammarco Restaurant Inc.,10507,Crab-Dungeness (Special),2026-03-09,0996108,16.94,8.95,151.61,0.00,151.61,100.00,DSCI.txt
ONE-AZ,One Time Customer AZ,10514,King Crab Live,2026-03-09,0996172,27.3,85,2320.50,1828.52,491.98,21.20,DSCI.txt
KIIN,KiiN Restaurant - 326 Adelaide,10600,Fluke (Whole),2026-03-11,0996450,8.3,17.95,148.99,51.20,97.79,65.63,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-11,0996385,4.2,9.95,41.79,25.91,15.88,38.00,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-13,0996803,4.5,17.95,80.78,27.76,53.02,65.63,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-14,0996939,16.5,17.95,296.18,96.52,199.66,67.41,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-16,0997049,-16.5,17.95,-296.18,-96.52,-199.66,67.41,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-16,0997049,16.5,9.95,164.18,96.52,67.66,41.21,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-16,0997049,-4.5,17.95,-80.78,-26.32,-54.46,67.41,DSCI.txt
LINOSS,Linny’s Ossington Inc.,10600,Fluke (Whole),2026-03-16,0997049,4.5,12.95,58.28,26.32,31.96,54.83,DSCI.txt
PATRIA,Patria,10600,Fluke (Whole),2026-03-12,0996557,10.8,15.95,172.26,66.63,105.63,61.32,DSCI.txt
